roll_id,archive_ref,year,ship,arrival_gothenburg,auction_start,pages,contents
R0002253,SE/RA/420132/31/2/1,1733,Friedericus Rex Sueciae,1733-08-27,1733-10,145,"Verkauffungs-Conditiones (8 articles + porcelain conditions) + sales ledger: tea, silk, porcelain, tutenag, Radix Chinae, galangal, sago"
R0002254,SE/RA/420132/31/2/2,1736,Friedericus Rex Sueciae,1736-07-31,1736-09-13,136,"Verkauffungs-Buch, cargo from Canton"
R0002255,SE/RA/420132/31/2/3,1742,Götheborg,1742-07-28,1742-09,75,"Verkauffungs-Buch, cargo from Canton (first voyage of the Götheborg)"
R0002256,SE/RA/420132/31/2/4,1742,Riddarehuset & Stockholm (Canton) + Friedericus Rex Sueciae (Bengal),,1742-12,131,"Joint auction: Canton cargo (tea, silk, rhubarb, curcuma, galangal, tutenag, porcelain) + Bengal cargo (cotton textiles, saltpetre, curcuma, caliatour wood)"
R0002257,SE/RA/420132/31/2/5,1743,Friedericus Rex Sueciae (Bengal goods),,1743,45,"Sales ledger of Bengali textiles (cossaes etc.) with buyers and prices"
R0002258,SE/RA/420132/31/2/6,1743,Calmare,1743-08,1743,70,"Verkauffungs-Buch, cargo from Canton"
R0002259,SE/RA/420132/31/2/7,1745-1746,Calmare & Friedericus Rex Sueciae,1745-08-12,1745,236,"Verkauffungs-Buch, cargo from Canton; tea ledgers with buyers (Sahlgren, Campbell, Ross, Arfwidsson etc.)"
